Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
7,6,2015-07-25,6574,705,1,0,0,0
8,6,2015-07-25,3288,398,1,0,0,0
9,6,2015-07-25,5330,468,1,0,0,0
10,6,2015-07-25,4713,475,1,0,0,1
11,6,2015-07-25,4712,642,1,0,0,0
12,6,2015-07-25,5185,651,1,0,0,0
13,6,2015-07-25,4361,340,1,0,0,0
14,6,2015-07-25,2952,348,1,0,0,0
15,6,2015-07-25,5209,555,1,0,0,0
16,6,2015-07-25,6105,571,1,0,0,0
17,6,2015-07-25,2572,357,1,0,0,0
18,6,2015-07-25,4416,475,1,0,0,0
19,6,2015-07-25,3562,299,1,0,0,0
20,6,2015-07-25,6588,643,1,0,0,0
1,5,2015-07-24,3706,459,1,0,0,0
2,5,2015-07-24,3854,468,1,0,0,1
3,5,2015-07-24,5080,607,1,0,0,1
4,5,2015-07-24,8322,1108,1,0,0,1
5,5,2015-07-24,3815,485,1,0,0,1
6,5,2015-07-24,3804,454,1,0,0,1
7,5,2015-07-24,9203,1062,1,0,0,1
8,5,2015-07-24,4917,558,1,0,0,1
9,5,2015-07-24,5464,546,1,0,0,1
10,5,2015-07-24,6152,603,1,0,0,1
11,5,2015-07-24,6192,869,1,0,0,1
12,5,2015-07-24,6078,758,1,0,0,1
13,5,2015-07-24,3483,287,1,0,0,0
14,5,2015-07-24,4775,567,1,0,0,1
15,5,2015-07-24,5255,573,1,0,0,1
16,5,2015-07-24,7781,888,1,0,0,0
17,5,2015-07-24,4443,657,1,0,0,1
18,5,2015-07-24,6409,717,1,0,0,1
19,5,2015-07-24,5330,509,1,0,0,1
20,5,2015-07-24,7988,885,1,0,0,0
1,4,2015-07-23,3769,503,1,0,0,0
2,4,2015-07-23,4108,521,1,0,0,1
3,4,2015-07-23,5702,655,1,0,0,1
4,4,2015-07-23,7286,1101,1,0,0,1
5,4,2015-07-23,3713,455,1,0,0,1
6,4,2015-07-23,3482,442,1,0,0,1
7,4,2015-07-23,9550,1096,1,0,0,1
8,4,2015-07-23,6109,783,1,0,0,1
9,4,2015-07-23,6471,579,1,0,0,1
10,4,2015-07-23,6401,579,1,0,0,1
11,4,2015-07-23,6151,914,1,0,0,1
12,4,2015-07-23,5784,780,1,0,0,1
13,4,2015-07-23,3959,312,1,0,0,0
14,4,2015-07-23,4080,514,1,0,0,1
15,4,2015-07-23,5623,586,1,0,0,1
16,4,2015-07-23,7865,924,1,0,0,0
17,4,2015-07-23,5328,731,1,0,0,1
18,4,2015-07-23,6450,684,1,0,0,1
19,4,2015-07-23,5465,528,1,0,0,1
20,4,2015-07-23,9262,1076,1,0,0,0
1,3,2015-07-22,3464,463,1,0,0,0
2,3,2015-07-22,5093,650,1,0,0,1
3,3,2015-07-22,5414,607,1,0,0,1
4,3,2015-07-22,8503,1108,1,0,0,1
5,3,2015-07-22,3595,503,1,0,0,1
6,3,2015-07-22,3469,408,1,0,0,1
7,3,2015-07-22,8214,874,1,0,0,1
8,3,2015-07-22,4996,626,1,0,0,1
9,3,2015-07-22,5649,539,1,0,0,1
10,3,2015-07-22,5561,600,1,0,0,0
11,3,2015-07-22,7185,997,1,0,0,1
12,3,2015-07-22,6201,796,1,0,0,1
13,3,2015-07-22,3164,256,1,0,0,0
14,3,2015-07-22,4409,541,1,0,0,1
15,3,2015-07-22,4899,511,1,0,0,1
16,3,2015-07-22,6779,802,1,0,0,0
17,3,2015-07-22,4952,674,1,0,0,1
18,3,2015-07-22,5940,654,1,0,0,1
19,3,2015-07-22,4826,532,1,0,0,1
20,3,2015-07-22,7264,823,1,0,0,0
1,2,2015-07-21,3558,469,1,0,0,0
2,2,2015-07-21,3836,532,1,0,0,1
3,2,2015-07-21,5600,661,1,0,0,1
4,2,2015-07-21,9176,1149,1,0,0,1
5,2,2015-07-21,3497,445,1,0,0,1
6,2,2015-07-21,3720,494,1,0,0,1
7,2,2015-07-21,9169,1118,1,0,0,1
8,2,2015-07-21,5168,673,1,0,0,1
9,2,2015-07-21,5873,510,1,0,0,1
10,2,2015-07-21,6479,654,1,0,0,0
11,2,2015-07-21,6315,932,1,0,0,1
12,2,2015-07-21,6314,813,1,0,0,1
13,2,2015-07-21,3080,248,1,0,0,0
14,2,2015-07-21,4518,555,1,0,0,1
15,2,2015-07-21,5449,545,1,0,0,1
16,2,2015-07-21,7274,887,1,0,0,0
17,2,2015-07-21,5847,759,1,0,0,1
18,2,2015-07-21,5207,596,1,0,0,1
19,2,2015-07-21,5362,564,1,0,0,1
20,2,2015-07-21,7759,899,1,0,0,0
1,1,2015-07-20,4395,526,1,0,0,0
2,1,2015-07-20,4435,564,1,0,0,1
3,1,2015-07-20,5798,671,1,0,0,1
4,1,2015-07-20,10283,1348,1,0,0,1
5,1,2015-07-20,4183,530,1,0,0,1
6,1,2015-07-20,4301,548,1,0,0,1
7,1,2015-07-20,10159,1112,1,0,0,1
8,1,2015-07-20,5956,733,1,0,0,1
9,1,2015-07-20,7152,622,1,0,0,1
10,1,2015-07-20,6111,657,1,0,0,0
11,1,2015-07-20,7733,1062,1,0,0,1
12,1,2015-07-20,6754,885,1,0,0,1
13,1,2015-07-20,3868,307,1,0,0,0
14,1,2015-07-20,4780,571,1,0,0,1
15,1,2015-07-20,6898,671,1,0,0,1
16,1,2015-07-20,7632,939,1,0,0,0
17,1,2015-07-20,5908,824,1,0,0,1
18,1,2015-07-20,6336,711,1,0,0,1
19,1,2015-07-20,6635,618,1,0,0,1
20,1,2015-07-20,9384,1001,1,0,0,0
1,7,2015-07-19,0,0,0,0,0,0
2,7,2015-07-19,0,0,0,0,0,0
3,7,2015-07-19,0,0,0,0,0,0
4,7,2015-07-19,0,0,0,0,0,0
5,7,2015-07-19,0,0,0,0,0,0
6,7,2015-07-19,0,0,0,0,0,0
7,7,2015-07-19,0,0,0,0,0,0
8,7,2015-07-19,0,0,0,0,0,0
9,7,2015-07-19,0,0,0,0,0,0
10,7,2015-07-19,0,0,0,0,0,0
11,7,2015-07-19,0,0,0,0,0,0
12,7,2015-07-19,0,0,0,0,0,0
13,7,2015-07-19,0,0,0,0,0,0
14,7,2015-07-19,0,0,0,0,0,0
15,7,2015-07-19,0,0,0,0,0,0
16,7,2015-07-19,0,0,0,0,0,0
17,7,2015-07-19,0,0,0,0,0,0
18,7,2015-07-19,0,0,0,0,0,0
19,7,2015-07-19,0,0,0,0,0,0
20,7,2015-07-19,0,0,0,0,0,0
1,6,2015-07-18,4406,512,1,0,0,0
2,6,2015-07-18,3417,359,1,0,0,0
3,6,2015-07-18,4258,417,1,0,0,0
4,6,2015-07-18,9703,1284,1,0,0,0
5,6,2015-07-18,2108,241,1,0,0,0
6,6,2015-07-18,2915,295,1,0,0,0
7,6,2015-07-18,6861,729,1,0,0,0
8,6,2015-07-18,3813,442,1,0,0,0
9,6,2015-07-18,5987,555,1,0,0,0
10,6,2015-07-18,5761,550,1,0,0,0
11,6,2015-07-18,5740,810,1,0,0,0
12,6,2015-07-18,7213,860,1,0,0,0
13,6,2015-07-18,4956,394,1,0,0,0
14,6,2015-07-18,3254,362,1,0,0,0
15,6,2015-07-18,5770,609,1,0,0,0
16,6,2015-07-18,5288,550,1,0,0,0
17,6,2015-07-18,2608,334,1,0,0,0
18,6,2015-07-18,4677,504,1,0,0,0
19,6,2015-07-18,4795,391,1,0,0,0
20,6,2015-07-18,5287,535,1,0,0,0
1,5,2015-07-17,4852,519,1,1,0,0
2,5,2015-07-17,4518,495,1,1,0,1
3,5,2015-07-17,6679,673,1,1,0,1
4,5,2015-07-17,10514,1343,1,1,0,1
5,5,2015-07-17,4355,513,1,1,0,1
6,5,2015-07-17,4422,519,1,1,0,1
7,5,2015-07-17,10339,1086,1,1,0,0
8,5,2015-07-17,6728,684,1,1,0,0
9,5,2015-07-17,6845,598,1,1,0,1
10,5,2015-07-17,5356,579,1,1,0,0
11,5,2015-07-17,7757,1024,1,1,0,0
12,5,2015-07-17,7684,916,1,1,0,0
13,5,2015-07-17,5740,394,1,1,0,0
14,5,2015-07-17,5346,579,1,1,0,1
15,5,2015-07-17,9368,775,1,1,0,0
16,5,2015-07-17,7605,861,1,1,0,0
17,5,2015-07-17,6243,739,1,1,0,1
18,5,2015-07-17,7660,819,1,1,0,1
19,5,2015-07-17,6384,593,1,1,0,1
20,5,2015-07-17,8117,843,1,1,0,0
1,4,2015-07-16,4427,517,1,1,0,0
2,4,2015-07-16,5062,544,1,1,0,1
3,4,2015-07-16,7909,812,1,1,0,1
4,4,2015-07-16,11432,1417,1,1,0,1
5,4,2015-07-16,4963,571,1,1,0,1
6,4,2015-07-16,5115,542,1,1,0,1
7,4,2015-07-16,10774,1102,1,1,0,0
8,4,2015-07-16,8808,988,1,1,0,0
9,4,2015-07-16,8113,640,1,1,0,1
10,4,2015-07-16,6275,614,1,1,0,0
11,4,2015-07-16,8149,1119,1,1,0,0
12,4,2015-07-16,9234,1036,1,1,0,0
13,4,2015-07-16,5921,406,1,1,0,0
14,4,2015-07-16,6152,664,1,1,0,1
15,4,2015-07-16,8501,769,1,1,0,0
16,4,2015-07-16,7954,882,1,1,0,0
17,4,2015-07-16,7231,835,1,1,0,1
18,4,2015-07-16,6887,719,1,1,0,1
19,4,2015-07-16,7328,625,1,1,0,1
20,4,2015-07-16,9100,1033,1,1,0,0
1,3,2015-07-15,4767,550,1,1,0,0
2,3,2015-07-15,6406,780,1,1,0,1
3,3,2015-07-15,8663,865,1,1,0,1
4,3,2015-07-15,11126,1377,1,1,0,0
5,3,2015-07-15,6323,716,1,1,0,1
6,3,2015-07-15,4582,530,1,1,0,1
7,3,2015-07-15,10095,991,1,1,0,0
8,3,2015-07-15,7932,802,1,1,0,0
9,3,2015-07-15,7013,633,1,1,0,1
10,3,2015-07-15,6423,628,1,1,0,0
11,3,2015-07-15,9645,1194,1,1,0,0
12,3,2015-07-15,10008,1113,1,1,0,0
13,3,2015-07-15,10334,415,1,1,0,0
14,3,2015-07-15,6143,668,1,1,0,1
15,3,2015-07-15,7885,694,1,1,0,0
16,3,2015-07-15,10099,1001,1,1,0,0
17,3,2015-07-15,8172,909,1,1,0,1
18,3,2015-07-15,7933,781,1,1,0,1
19,3,2015-07-15,7485,675,1,1,0,1
20,3,2015-07-15,8262,944,1,1,0,0
1,2,2015-07-14,5042,544,1,1,0,0
2,2,2015-07-14,6122,645,1,1,0,1
3,2,2015-07-14,8625,769,1,1,0,1
4,2,2015-07-14,12315,1485,1,1,0,0
5,2,2015-07-14,6144,607,1,1,0,1
6,2,2015-07-14,5758,584,1,1,0,1
7,2,2015-07-14,12294,1206,1,1,0,0
8,2,2015-07-14,8845,840,1,1,0,0
9,2,2015-07-14,7841,667,1,1,0,1
10,2,2015-07-14,7491,691,1,1,0,0
11,2,2015-07-14,9319,1226,1,1,0,0
12,2,2015-07-14,9336,943,1,1,0,0
13,2,2015-07-14,6422,438,1,1,0,0
14,2,2015-07-14,6509,668,1,1,0,1
15,2,2015-07-14,7857,687,1,1,0,0
16,2,2015-07-14,9986,1028,1,1,0,0
17,2,2015-07-14,8241,970,1,1,0,1
18,2,2015-07-14,7632,699,1,1,0,1
19,2,2015-07-14,8545,662,1,1,0,1
20,2,2015-07-14,10139,961,1,1,0,0
1,1,2015-07-13,5054,553,1,1,0,0
2,1,2015-07-13,6874,687,1,1,0,1
3,1,2015-07-13,9462,812,1,1,0,1
4,1,2015-07-13,13550,1619,1,1,0,0
5,1,2015-07-13,7425,719,1,1,0,1
6,1,2015-07-13,6827,660,1,1,0,1
7,1,2015-07-13,13250,1252,1,1,0,0
8,1,2015-07-13,9117,935,1,1,0,0
9,1,2015-07-13,10399,759,1,1,0,1
10,1,2015-07-13,6757,621,1,1,0,0
11,1,2015-07-13,10434,1270,1,1,0,0
12,1,2015-07-13,11730,1159,1,1,0,0
13,1,2015-07-13,7525,476,1,1,0,0
14,1,2015-07-13,7202,751,1,1,0,1
15,1,2015-07-13,8691,759,1,1,0,0
16,1,2015-07-13,11932,1155,1,1,0,0
17,1,2015-07-13,10029,1069,1,1,0,1
18,1,2015-07-13,9887,863,1,1,0,1
19,1,2015-07-13,9689,735,1,1,0,1
20,1,2015-07-13,10240,1048,1,1,0,0
1,7,2015-07-12,0,0,0,0,0,0
2,7,2015-07-12,0,0,0,0,0,0
3,7,2015-07-12,0,0,0,0,0,0
4,7,2015-07-12,0,0,0,0,0,0
5,7,2015-07-12,0,0,0,0,0,0
6,7,2015-07-12,0,0,0,0,0,0
7,7,2015-07-12,0,0,0,0,0,0
8,7,2015-07-12,0,0,0,0,0,0
9,7,2015-07-12,0,0,0,0,0,0
10,7,2015-07-12,0,0,0,0,0,0
11,7,2015-07-12,0,0,0,0,0,0
12,7,2015-07-12,0,0,0,0,0,0
13,7,2015-07-12,0,0,0,0,0,0
14,7,2015-07-12,0,0,0,0,0,0
15,7,2015-07-12,0,0,0,0,0,0
16,7,2015-07-12,0,0,0,0,0,0
17,7,2015-07-12,0,0,0,0,0,0
18,7,2015-07-12,0,0,0,0,0,0
19,7,2015-07-12,0,0,0,0,0,0
20,7,2015-07-12,0,0,0,0,0,0
1,6,2015-07-11,3530,441,1,0,0,0
2,6,2015-07-11,2677,311,1,0,0,0
3,6,2015-07-11,4011,409,1,0,0,0
4,6,2015-07-11,10996,1401,1,0,0,0
5,6,2015-07-11,2023,228,1,0,0,0
6,6,2015-07-11,3134,353,1,0,0,0
7,6,2015-07-11,6425,694,1,0,0,0
8,6,2015-07-11,3707,425,1,0,0,0
9,6,2015-07-11,5076,495,1,0,0,0
10,6,2015-07-11,4636,523,1,0,0,0
11,6,2015-07-11,5756,763,1,0,0,0
12,6,2015-07-11,6612,854,1,0,0,0
13,6,2015-07-11,4031,319,1,0,0,0
14,6,2015-07-11,3103,368,1,0,0,0
15,6,2015-07-11,5738,598,1,0,0,0
16,6,2015-07-11,5414,583,1,0,0,0
17,6,2015-07-11,3034,361,1,0,0,0
18,6,2015-07-11,4940,488,1,0,0,0
19,6,2015-07-11,3718,331,1,0,0,0
20,6,2015-07-11,5332,497,1,0,0,0
1,5,2015-07-10,3808,449,1,0,0,0
2,5,2015-07-10,4384,539,1,0,0,0
3,5,2015-07-10,6316,689,1,0,0,1
4,5,2015-07-10,9177,1245,1,0,0,0
5,5,2015-07-10,4252,530,1,0,0,0
6,5,2015-07-10,4530,576,1,0,0,0
7,5,2015-07-10,9499,1063,1,0,0,0
8,5,2015-07-10,6067,693,1,0,0,0
9,5,2015-07-10,6007,528,1,0,0,1
10,5,2015-07-10,5747,607,1,0,0,0
11,5,2015-07-10,6979,1048,1,0,0,0
12,5,2015-07-10,6730,846,1,0,0,0
13,5,2015-07-10,3639,298,1,0,0,0
14,5,2015-07-10,4981,595,1,0,0,1
15,5,2015-07-10,6323,656,1,0,0,0
16,5,2015-07-10,7768,899,1,0,0,0
17,5,2015-07-10,5451,754,1,0,0,0
18,5,2015-07-10,7818,846,1,0,0,0
19,5,2015-07-10,5531,605,1,0,0,1
20,5,2015-07-10,7201,793,1,0,0,0
1,4,2015-07-09,3897,480,1,0,0,0
2,4,2015-07-09,4082,495,1,0,0,0
3,4,2015-07-09,6613,691,1,0,0,1
4,4,2015-07-09,9093,1185,1,0,0,0
5,4,2015-07-09,4601,540,1,0,0,0
6,4,2015-07-09,4095,524,1,0,0,0
7,4,2015-07-09,9608,1056,1,0,0,0
8,4,2015-07-09,5602,765,1,0,0,0
9,4,2015-07-09,6285,550,1,0,0,1
10,4,2015-07-09,4871,559,1,0,0,0
11,4,2015-07-09,6595,990,1,0,0,0
12,4,2015-07-09,6090,765,1,0,0,0
13,4,2015-07-09,4350,331,1,0,0,0
14,4,2015-07-09,5050,602,1,0,0,1
15,4,2015-07-09,5609,582,1,0,0,0
16,4,2015-07-09,6867,802,1,0,0,0
17,4,2015-07-09,5478,726,1,0,0,0
18,4,2015-07-09,6382,700,1,0,0,0
19,4,2015-07-09,5230,573,1,0,0,1
20,4,2015-07-09,9084,1046,1,0,0,0
1,3,2015-07-08,3797,485,1,0,0,0
2,3,2015-07-08,5676,693,1,0,0,0
3,3,2015-07-08,6347,680,1,0,0,1
4,3,2015-07-08,8620,1134,1,0,0,0
5,3,2015-07-08,4990,639,1,0,0,0
6,3,2015-07-08,4072,513,1,0,0,0
7,3,2015-07-08,9204,963,1,0,0,0
8,3,2015-07-08,5322,639,1,0,0,0
9,3,2015-07-08,5621,508,1,0,0,1
10,3,2015-07-08,4865,518,1,0,0,0
11,3,2015-07-08,6907,1081,1,0,0,0
12,3,2015-07-08,6350,830,1,0,0,0
13,3,2015-07-08,3709,298,1,0,0,0
14,3,2015-07-08,4720,574,1,0,0,1
15,3,2015-07-08,5466,580,1,0,0,0
16,3,2015-07-08,8224,913,1,0,0,0
17,3,2015-07-08,5876,753,1,0,0,0
18,3,2015-07-08,6676,720,1,0,0,0
19,3,2015-07-08,5350,512,1,0,0,1
20,3,2015-07-08,7708,843,1,0,0,0
1,2,2015-07-07,3650,485,1,0,0,0
2,2,2015-07-07,4313,531,1,0,0,0
3,2,2015-07-07,6180,657,1,0,0,1
4,2,2015-07-07,8127,1103,1,0,0,0
5,2,2015-07-07,4036,507,1,0,0,0
6,2,2015-07-07,4021,501,1,0,0,0
7,2,2015-07-07,9207,1069,1,0,0,0
8,2,2015-07-07,5365,679,1,0,0,0
9,2,2015-07-07,6940,588,1,0,0,1
10,2,2015-07-07,5476,597,1,0,0,0
11,2,2015-07-07,6620,1105,1,0,0,0
12,2,2015-07-07,5808,829,1,0,0,0
13,2,2015-07-07,3129,262,1,0,0,0
14,2,2015-07-07,4955,606,1,0,0,1
15,2,2015-07-07,5555,588,1,0,0,0
16,2,2015-07-07,6992,835,1,0,0,0
17,2,2015-07-07,5184,748,1,0,0,0
18,2,2015-07-07,5627,598,1,0,0,0
19,2,2015-07-07,5873,597,1,0,0,1
20,2,2015-07-07,7632,897,1,0,0,0
1,1,2015-07-06,4359,540,1,0,0,0
2,1,2015-07-06,4132,523,1,0,0,0
3,1,2015-07-06,6736,734,1,0,0,1
4,1,2015-07-06,9967,1373,1,0,0,0
5,1,2015-07-06,4328,543,1,0,0,0
6,1,2015-07-06,4508,562,1,0,0,0
7,1,2015-07-06,10790,1210,1,0,0,0
8,1,2015-07-06,6740,805,1,0,0,0
9,1,2015-07-06,7758,656,1,0,0,1
10,1,2015-07-06,6143,648,1,0,0,0
11,1,2015-07-06,7135,1155,1,0,0,0
12,1,2015-07-06,6226,844,1,0,0,0
13,1,2015-07-06,3055,271,1,0,0,0
14,1,2015-07-06,5706,656,1,0,0,1
15,1,2015-07-06,5431,651,1,0,0,0
16,1,2015-07-06,8059,928,1,0,0,0
17,1,2015-07-06,5446,766,1,0,0,0
18,1,2015-07-06,6614,711,1,0,0,0
19,1,2015-07-06,6542,637,1,0,0,1
20,1,2015-07-06,9124,972,1,0,0,0
1,7,2015-07-05,0,0,0,0,0,0
2,7,2015-07-05,0,0,0,0,0,0
3,7,2015-07-05,0,0,0,0,0,0
4,7,2015-07-05,0,0,0,0,0,0
5,7,2015-07-05,0,0,0,0,0,0
6,7,2015-07-05,0,0,0,0,0,0
7,7,2015-07-05,0,0,0,0,0,0
8,7,2015-07-05,0,0,0,0,0,0
9,7,2015-07-05,0,0,0,0,0,0
10,7,2015-07-05,0,0,0,0,0,0
11,7,2015-07-05,0,0,0,0,0,0
12,7,2015-07-05,0,0,0,0,0,0
13,7,2015-07-05,0,0,0,0,0,0
14,7,2015-07-05,0,0,0,0,0,0
15,7,2015-07-05,0,0,0,0,0,0
16,7,2015-07-05,0,0,0,0,0,0
17,7,2015-07-05,0,0,0,0,0,0
18,7,2015-07-05,0,0,0,0,0,0
19,7,2015-07-05,0,0,0,0,0,0
20,7,2015-07-05,0,0,0,0,0,0
1,6,2015-07-04,4797,560,1,0,0,0
2,6,2015-07-04,4475,1147,1,0,0,0
3,6,2015-07-04,4482,456,1,0,0,0
4,6,2015-07-04,9358,1257,1,0,0,0
5,6,2015-07-04,2240,225,1,0,0,0
6,6,2015-07-04,2979,315,1,0,0,0
7,6,2015-07-04,6559,723,1,0,0,0
8,6,2015-07-04,3418,428,1,0,0,0
9,6,2015-07-04,6223,538,1,0,0,0
10,6,2015-07-04,5120,521,1,0,0,0
11,6,2015-07-04,5372,812,1,0,0,0
12,6,2015-07-04,5119,659,1,0,0,0
13,6,2015-07-04,3906,302,1,0,0,0
14,6,2015-07-04,3649,408,1,0,0,0
15,6,2015-07-04,5388,588,1,0,0,0
16,6,2015-07-04,5054,539,1,0,0,0
17,6,2015-07-04,2592,320,1,0,0,0
18,6,2015-07-04,5001,527,1,0,0,0
19,6,2015-07-04,4013,371,1,0,0,0
20,6,2015-07-04,5383,502,1,0,0,0
1,5,2015-07-03,4665,538,1,1,0,0
2,5,2015-07-03,4838,1029,1,1,0,0
3,5,2015-07-03,8149,742,1,1,0,1
4,5,2015-07-03,11543,1395,1,1,0,0
5,5,2015-07-03,4475,527,1,1,0,0
6,5,2015-07-03,4594,535,1,1,0,0
7,5,2015-07-03,11976,1182,1,1,0,0
8,5,2015-07-03,6535,764,1,1,0,0
9,5,2015-07-03,8363,669,1,1,0,1
10,5,2015-07-03,5915,628,1,1,0,0
11,5,2015-07-03,7689,1134,1,1,0,0
12,5,2015-07-03,7311,845,1,1,0,0
13,5,2015-07-03,8948,441,1,1,0,0
14,5,2015-07-03,6252,656,1,1,0,1
15,5,2015-07-03,7554,702,1,1,0,0
16,5,2015-07-03,9453,967,1,1,0,0
17,5,2015-07-03,5948,737,1,1,0,0
18,5,2015-07-03,7810,784,1,1,0,0
19,5,2015-07-03,7619,658,1,1,0,1
